response,n,transform,shapiro_p_raw,levene_p_raw,shapiro_p_final,levene_p_final,flag
Dry_matter,32,log1p,0.00023692985637525078,0.3753735283902225,0.0020374483825385567,0.3380919003380985,!
Protein,31,none,0.20792612870285243,0.09856026011781693,0.20792612870285243,0.09856026011781693,
N,31,none,0.20281941199124387,0.10275368072776171,0.20281941199124387,0.10275368072776171,
P,32,none,0.8253486681533388,0.7814582985693759,0.8253486681533388,0.7814582985693759,
K,32,none,0.7184772560147947,0.29201221620503764,0.7184772560147947,0.29201221620503764,
Ca,32,none,0.11665787196412275,0.7888500633153572,0.11665787196412275,0.7888500633153572,
Fe,32,none,0.3434428386139522,0.22218418374821094,0.3434428386139522,0.22218418374821094,
Zn,32,log1p,4.3588497524395e-05,0.6974592784902691,4.572948580452945e-05,0.699646764814169,!
Mg,32,none,0.9299032724376679,0.34059533844580586,0.9299032724376679,0.34059533844580586,
N_uptake,31,none,0.28189759664791314,0.13664577337223258,0.28189759664791314,0.13664577337223258,
P_uptake,32,log1p,0.02220636189443756,0.4749899777219147,0.5083929816413661,0.7520748000249728,
K_uptake,32,log1p,0.013733294669361223,0.15537256691517465,0.5570434101186357,0.4325866535762513,
Ca_uptake,32,none,0.10260184797551536,0.38669525844445546,0.10260184797551536,0.38669525844445546,
Fe_uptake,32,log1p,0.00045350000542769477,0.5714652882690224,0.001762995599558533,0.5607630897503233,!
Zn_uptake,32,log1p,6.341287146859265e-05,0.7454564896722609,6.447607551987929e-05,0.7491156513035695,!
Mg_uptake,32,log1p,0.0008791384608999146,0.2871114134463764,0.040698732172732136,0.32261962802215777,!
Acid_phosphomonosterase,32,log1p,0.6654017520932934,0.006445088812091022,0.05721522726704563,0.014515957757001227,!
Dehydrogenase,32,none,0.25297626233844406,0.8857420065679619,0.25297626233844406,0.8857420065679619,
pH,32,none,0.8934084243661711,0.2554584245320816,0.8934084243661711,0.2554584245320816,
EC,32,log1p,0.7000967313915379,0.039015850897117565,0.3705125397327829,0.09540671940567015,
Plant_height_20DAT,32,none,0.9362032896977119,0.2851340558479968,0.9362032896977119,0.2851340558479968,
Stem_diameter_20DAT,32,none,0.4353467967140687,0.6990132846891378,0.4353467967140687,0.6990132846891378,
SPAD_20DAT,32,none,0.3783754395610548,0.5133924746760109,0.3783754395610548,0.5133924746760109,
NDVI_20DAT,32,log1p,2.9192727709239646e-06,0.9966514372502647,2.9835283843896423e-06,0.9969859283942685,!
Plant_height_35DAT,32,none,0.2557778944273177,0.16918733910749514,0.2557778944273177,0.16918733910749514,
Stem_diameter_35DAT,32,none,0.48402814704784497,0.33835948816197925,0.48402814704784497,0.33835948816197925,
SPAD_35DAT,32,log1p,0.03806998456092119,0.7112947072878169,0.09535323339229235,0.6421787313378309,
NDVI_35DAT,32,log1p,0.00018339108173301522,0.971560093567013,0.00016201948311146238,0.9704819016966149,!
Flower_buds,32,log1p,0.19240189081397424,0.007128003620727275,0.052677687099024935,0.00016265103799949609,!
Above_ground_biomass,32,log1p,0.001465953185545876,0.7645962547184735,0.737109082443925,0.9489536384553064,
PFPN,24,log1p,0.00684513117549449,0.8169283665979634,0.09035250415420962,0.816941629249536,
Agronomic_NUE,24,none,0.06225512852397586,0.43972655356260654,0.06225512852397586,0.43972655356260654,
Recovery_rate_N,23,none,0.23077421379737234,0.4795644939027966,0.23077421379737234,0.4795644939027966,
Recovery_rate_P,24,none,0.5937035898035705,0.857128213964425,0.5937035898035705,0.857128213964425,
Recovery_rate_K,24,none,0.2152666877405638,0.2128964793637261,0.2152666877405638,0.2128964793637261,
Physiological_Efficiency,23,none,0.13966513747854403,0.49831337812125587,0.13966513747854403,0.49831337812125587,
N_P_ratio,31,none,0.18401899196711263,0.05951530499079585,0.18401899196711263,0.05951530499079585,
