,Dry_matter,Protein,N,P,K,Ca,Fe,Zn,Mg,N_uptake,P_uptake,K_uptake,Ca_uptake,Fe_uptake,Zn_uptake,Mg_uptake,Acid_phosphomonosterase,Dehydrogenase,pH,EC,Plant_height_20DAT,Stem_diameter_20DAT,SPAD_20DAT,NDVI_20DAT,Plant_height_35DAT,Stem_diameter_35DAT,SPAD_35DAT,NDVI_35DAT,Flower_buds,Above_ground_biomass,PFPN,Agronomic_NUE,Recovery_rate_N,Recovery_rate_P,Recovery_rate_K,Physiological_Efficiency,N_P_ratio
Dry_matter,1.0,0.017406791854196316,0.018768808989790203,-0.5641480056682213,0.133657812956956,-0.5798251050462586,0.2246816924330267,-0.11235713670647202,-0.5918798552305293,0.5138272690114093,0.6336312752935193,0.7554207667499732,0.6092037155768251,0.8059891155395993,0.5131883089276995,0.832920022295923,-0.07943824520300094,0.06043277974808761,0.04385405544960196,0.2664391447326074,0.5079301504459827,0.4028008416696167,0.5561298552426911,0.07568536075100815,0.5598376414450652,0.46387364643121454,0.6227803455590263,-0.19421234365519896,0.5182783097950595,0.5760445366256186,0.15353567895667836,0.14984725370599344,-0.1511567019556082,0.4128920186468652,0.6254205515576188,0.38476775371463784,-0.1809296882202418
Protein,0.017406791854196316,1.0,0.9998959888130898,-0.5285869365065475,0.5304286932052387,-0.45307794947247637,0.1470095505847736,-0.0477063820261303,-0.455216512905748,0.49753862002630567,0.010433272304849743,0.25968611157469945,-0.023554787734175783,0.1479523819595133,0.14845200807155015,0.13635198759192269,0.2538631517183329,-0.252300451041499,-0.31553041255542513,0.10967179982697514,0.4152922940328137,0.2175419739494274,0.588852063319565,-0.0015454890846801142,0.427554721458896,0.32797956289519026,0.5978216665273982,0.04565566996698229,0.43745546384561657,0.21685847859904167,-0.5361835156971763,-0.4130448028999148,0.3729844095312765,-0.514193551499997,-0.44977619709169336,-0.7338160132483076,0.879165664604369
N,0.018768808989790203,0.9998959888130898,1.0,-0.5297120466988011,0.5292295305971406,-0.45367603138487783,0.1486719316818238,-0.049415108154522464,-0.4567359676512439,0.49835399407168296,0.01164473742096266,0.2605143134006609,-0.022340557056166232,0.15126466153256737,0.1500152703370081,0.1378474389822318,0.25356269002396886,-0.25023686638679055,-0.3146235539009734,0.11045392354954565,0.4171425747632947,0.2185510432848987,0.5896958891277296,-0.0020969950119477786,0.4290754984306781,0.32878408031385903,0.6002770805772109,0.046266889360595954,0.4400330949352088,0.2180172503046055,-0.5364252999854761,-0.41285684763419617,0.3733637300175495,-0.5137892430498885,-0.44976851649970184,-0.7330612387861342,0.8801174106225569
P,-0.5641480056682213,-0.5285869365065475,-0.5297120466988011,1.0,-0.5552302055707936,0.8437651807408236,0.0890160828269252,0.337961533772378,0.7943999357085438,-0.6703293825479981,-0.3351411948483319,-0.6826719780369963,-0.2815518399005029,-0.4476513582173283,-0.14499694146438685,-0.570520511971007,-0.16210776400606644,0.23079877219296024,0.1939536386921925,-0.28697064307640524,-0.7093796568224037,-0.40106504850148894,-0.8821532588231658,0.19956717220660256,-0.7548340788847295,-0.6600404441624654,-0.8489737312503381,-0.11632409855623733,-0.7952804857872889,-0.5679237298917561,0.6252150529245366,0.6208732978938466,0.279972322800929,0.7177720718020054,0.33335996982941574,0.3971927376318813,-0.6063500986347314
K,0.133657812956956,0.5304286932052387,0.5292295305971406,-0.5552302055707936,1.0,-0.6234230898422595,-0.022075793338221746,-0.003651861175560816,-0.39691272087964474,0.35079932058346,0.02645405819544968,0.4062877916282567,-0.22127295824531096,0.1910084435229604,0.19339315877582344,0.1423402042059674,0.5420892292038563,-0.4360315492445465,-0.58583332010241,-0.04746090951566549,0.3121444737219467,0.040895189187060865,0.5643284158344809,0.0020962902525238558,0.43611606853745705,0.22831208868167038,0.4423236105809466,0.057195152497773835,0.3563449613800376,0.20582137542950907,-0.5709422400108841,-0.4075708884487987,-0.0023602015559628397,-0.46635315550978196,-0.10256829146091262,-0.49822530671183796,0.6321615331554411
Ca,-0.5798251050462586,-0.45307794947247637,-0.45367603138487783,0.8437651807408236,-0.6234230898422595,1.0,0.12500754011283255,0.26071460878011665,0.9024347580125496,-0.832968052878414,-0.6243227268942647,-0.856597662773184,-0.3470377463218219,-0.5017919167263517,-0.17363830197685312,-0.7016531560780819,-0.16202753482472662,0.2524927984987594,0.19659773711793738,-0.33462560631948585,-0.848950137842343,-0.401585411719728,-0.9124645482842599,0.17378351916751497,-0.8860265533371237,-0.7351576448211592,-0.8217602719306355,-0.13244262624291453,-0.8338602091913924,-0.7807809089495729,0.11131753611601211,-0.086228710044757,-0.16180387350975892,-0.058359846220303865,-0.18769814788801692,0.0854446466164342,-0.4574347770305811
Fe,0.2246816924330267,0.1470095505847736,0.1486719316818238,0.0890160828269252,-0.022075793338221746,0.12500754011283255,1.0,0.3861604811090896,0.02653172333910156,-0.1771169048686609,-0.09774731160341557,-0.04477064821773286,-0.008239116476672094,0.6200986785710348,0.45446193930436857,0.019771622335655638,-0.04296115787683198,0.033345090539277956,0.00036780158555786436,0.08407329208337669,-0.13766698700280686,0.036572508237845455,-0.034967407812378684,0.506462858951632,-0.1236711243067362,-0.18040524475850034,0.07785772479107121,-0.4239838354152677,-0.17005764170425922,-0.16871913414808484,-0.36240457053227715,-0.2601319951339789,-0.2194501907066285,-0.05891768251999316,0.10914545405049203,0.061528461961757513,-0.03947318782669981
Zn,-0.11235713670647202,-0.0477063820261303,-0.049415108154522464,0.337961533772378,-0.003651861175560816,0.26071460878011665,0.3861604811090896,1.0,0.3435707114737012,-0.2977812284848971,-0.24880966492367249,-0.25014032618021287,-0.25427662531870365,0.05190556741255461,0.5442517758352875,-0.24160432164733295,0.19910894266152665,0.1643235365986181,-0.28035826601725017,-0.23386561794338193,-0.3212142805413942,-0.07040404663166036,-0.21922605255109134,0.8234553044463813,-0.297831536242801,-0.2008010142602929,-0.21150854231720786,-0.7804375130840135,-0.34380121826386334,-0.32861697650836913,-0.29201423342875876,-0.17773099914047188,0.03958373620519229,-0.03869572469707223,0.1227409958574314,-0.11298632078103034,-0.10999573371335203
Mg,-0.5918798552305293,-0.455216512905748,-0.4567359676512439,0.7943999357085438,-0.39691272087964474,0.9024347580125496,0.02653172333910156,0.3435707114737012,1.0,-0.9172302857863096,-0.7465071837059103,-0.8954132346566785,-0.6010141784977598,-0.5261326916983883,-0.12550212688834353,-0.8065932066933726,0.19601368112639414,0.026823271419557815,-0.15551218740292308,-0.5481474046254823,-0.9590684536264412,-0.559508413126452,-0.9015342284308363,0.14518762873421107,-0.9605996923377045,-0.8528699448130888,-0.8860872812171743,-0.06735577707140036,-0.8959529152106225,-0.8933394503407669,-0.6767045564702534,-0.665871812332154,-0.3285110171010612,-0.5264817098491124,-0.3949904188640911,-0.3411159582902335,-0.39192341190283997
N_uptake,0.5138272690114093,0.49753862002630567,0.49835399407168296,-0.6703293825479981,0.35079932058346,-0.832968052878414,-0.1771169048686609,-0.2977812284848971,-0.9172302857863096,1.0,0.8334030011162783,0.9115095193650827,0.695913503415021,0.49362466133763255,0.14161412129103754,0.8381505305380066,-0.23608201665775294,0.04282166737462601,0.1687615744925686,0.5670281316061002,0.937816959335705,0.5704747317835221,0.8402796407728382,-0.11698696255201749,0.9287677616665742,0.8534802871399446,0.8153468112689861,0.0654005910811775,0.8524556072384385,0.9501140496473205,0.8036694191121228,0.8150770637320305,0.8824669829213646,0.6657119144073285,0.5186390901641031,0.14491871477787313,0.3720881593874836
