,Dry_matter,Protein,N,P,K,Ca,Fe,Zn,Mg,N_uptake,P_uptake,K_uptake,Ca_uptake,Fe_uptake,Zn_uptake,Mg_uptake,Acid_phosphomonosterase,Dehydrogenase,pH,EC,Plant_height_20DAT,Stem_diameter_20DAT,SPAD_20DAT,NDVI_20DAT,Plant_height_35DAT,Stem_diameter_35DAT,SPAD_35DAT,NDVI_35DAT,Flower_buds,Above_ground_biomass,PFPN,Agronomic_NUE,Recovery_rate_N,Recovery_rate_P,Recovery_rate_K,Physiological_Efficiency,N_P_ratio
Dry_matter,1.0,0.006857604012014844,0.00020173492031470649,-0.4163534853558756,0.24035201202181986,-0.5408378607661087,0.10541754913237714,-0.1981802170484057,-0.6565221625096391,0.5800141437118942,0.8726739719480263,0.8532404759340577,0.6799890256208466,0.7476395919336243,0.01917748447526878,0.8715739627396886,-0.2388853330773694,0.21543265292906102,0.12350999449844123,0.5212210298840838,0.5291150870481619,0.4020353918061937,0.39050326895993615,-0.006050605162210173,0.5845180446893878,0.5526725979037025,0.4048033886683282,-0.23961867254959462,0.47867227278661084,0.7590759203500035,0.4880383236804877,0.3875598452756814,-0.2214533142530362,0.7059591794415611,0.5937364633011281,0.39495803144682123,-0.13693657982627822
Protein,0.006857604012014844,1.0,0.9997983261046347,-0.5974392610259,0.5377558248923643,-0.36173001494447,0.22038512058768434,0.2046671271303601,-0.18509930530603314,0.5125516711197562,0.027623752534778365,0.1377154962135301,-0.05121484046593945,0.22199818642913124,0.30876971067956777,0.05887690321281228,0.15485432077890354,-0.26057130537950907,-0.30475999006336557,0.134892630990998,0.29366680710275334,0.22565033272837265,0.6696239574306493,0.03569267997580157,0.22858875095769968,0.26900584795321636,0.619618916345795,-0.07662062746872832,0.36317564147959935,0.07360354910264166,-0.7511737318522966,-0.599950598992558,0.36372622805479626,-0.7185569777060785,-0.5139609744252556,-0.7971337036037859,0.9261014262207082
N,0.00020173492031470649,0.9997983261046347,1.0,-0.5945346646949458,0.5332257983220613,-0.3549460684745945,0.2202279015762825,0.20604235099649965,-0.17626299082204294,0.506806517089009,0.019159020741526405,0.1298779932372948,-0.05667036661440969,0.21720279303814674,0.3099602411029991,0.051426845148307726,0.1552889049576351,-0.26254170276223077,-0.30663707887835384,0.12907129762712527,0.28545491224530967,0.22267043615483492,0.665725552292407,0.035296491238311696,0.2205630209004792,0.26058895245656405,0.6159120983644384,-0.07320762662288512,0.3564411576908476,0.06464300252502228,-0.7511737318522966,-0.599950598992558,0.36372622805479626,-0.7185569777060785,-0.5139609744252556,-0.7971337036037859,0.9266915821822509
P,-0.4163534853558756,-0.5974392610259,-0.5945346646949458,1.0,-0.5703812316715543,0.623533724340176,-0.062316715542521994,0.09329040224405882,0.4343841642228739,-0.4975806451612903,-0.3035190615835777,-0.4252199413489736,-0.1429618768328446,-0.40652492668621704,-0.08674029600186023,-0.3848973607038123,-0.2587976539589443,0.29756020589845494,0.2823356968067144,-0.1975806451612903,-0.494682834873827,-0.2733272273240895,-0.8163489736070382,0.11547979152157435,-0.32936003517312656,-0.3869844244675741,-0.7532991202346041,0.09860703812316715,-0.5990763728516945,-0.35212171351261007,0.46347826086956523,0.3695652173913043,0.09090909090909091,0.5930434782608696,0.24695652173913044,0.34782608695652173,-0.6366935483870968
K,0.24035201202181986,0.5377558248923643,0.5332257983220613,-0.5703812316715543,1.0,-0.5769794721407625,-0.025293255131964808,0.2962575448508934,-0.1495601173020528,0.24717741935483872,0.11070381231671554,0.40212609970674484,-0.18988269794721407,0.1777859237536657,0.378976915578943,0.1000733137829912,0.5146627565982405,-0.3993764292484195,-0.47520397800195047,-0.03848973607038123,0.165016512745161,0.04619615109702921,0.5868768328445748,0.09128402567895877,0.27617829229996027,0.172685612434133,0.48533724340175954,-0.018328445747800588,0.22038178008389503,0.09036751939704152,-0.5895652173913043,-0.28347826086956524,0.09683794466403162,-0.3782608695652174,0.08608695652173913,-0.4644268774703557,0.5334677419354839
Ca,-0.5408378607661087,-0.36173001494447,-0.3549460684745945,0.623533724340176,-0.5769794721407625,1.0,0.05791788856304985,0.07262127120794998,0.7379032258064516,-0.49556451612903224,-0.499266862170088,-0.6715542521994134,-0.056818181818181816,-0.4120234604105572,-0.11745306175359185,-0.41385630498533726,-0.3555718475073314,0.337185979310333,0.32028601449437016,-0.14552785923753667,-0.6580491824915364,-0.15417048838333955,-0.655791788856305,0.09311703824279328,-0.5349349791759522,-0.4630614193297452,-0.5777126099706745,0.10667155425219942,-0.5623152879927715,-0.4694345175980189,0.2,-0.17217391304347826,-0.21146245059288538,-0.09739130434782609,-0.36434782608695654,-0.04743083003952569,-0.33145161290322583
Fe,0.10541754913237714,0.22038512058768434,0.2202279015762825,-0.062316715542521994,-0.025293255131964808,0.05791788856304985,1.0,0.4236240820463749,0.18218475073313783,-0.044758064516129036,0.02309384164222874,-0.04472140762463343,0.07697947214076246,0.6026392961876833,0.4644142457610328,0.06451612903225806,-0.08614369501466276,0.06640986099583272,-0.00843340393059017,0.2089442815249267,-0.19270261655018242,0.13730522687172572,0.1092375366568915,0.5326734510503096,-0.17293235699791668,-0.15252062584415993,0.21114369501466276,-0.1777859237536657,-0.12949507781962313,-0.109247548804537,-0.3782608695652174,-0.2843478260869565,-0.19861660079051383,-0.08,-0.19304347826086957,-0.0691699604743083,0.09879032258064516
Zn,-0.1981802170484057,0.2046671271303601,0.20604235099649965,0.09329040224405882,0.2962575448508934,0.07262127120794998,0.4236240820463749,1.0,0.39122382258436644,-0.14956119735521942,-0.28191949899701607,-0.14375287531419842,-0.2618089931240453,0.09086969320379383,0.9461044549604283,-0.2405812369247984,0.3642236063660261,-0.022272322545500205,-0.4758932843596584,-0.2701883705711165,-0.2998123220518565,-0.05065796712691149,0.06033151761891229,0.7665970839039619,-0.25440747871160163,-0.2612982642612383,0.1968222658123157,-0.4061204936013818,-0.1839225248080019,-0.39666021832028153,-0.5410818143952093,-0.2286635677542408,0.23074593538939694,-0.16041901458727748,0.016396418618036646,-0.24235896933678455,0.11037575332936632
Mg,-0.6565221625096391,-0.18509930530603314,-0.17626299082204294,0.4343841642228739,-0.1495601173020528,0.7379032258064516,0.18218475073313783,0.39122382258436644,1.0,-0.7419354838709677,-0.7998533724340176,-0.7851906158357771,-0.533724340175953,-0.4655425219941349,0.1718053502354442,-0.7001466275659824,0.20784457478005866,-0.08457167380961018,-0.20423504301472717,-0.49890029325513197,-0.8802714196550199,-0.3290559175363787,-0.4736070381231672,0.24654018983574208,-0.7751697487064622,-0.7294225603772986,-0.4637096774193548,0.156158357771261,-0.759605934371313,-0.853633950977733,-0.6565217391304348,-0.671304347826087,-0.24110671936758893,-0.5408695652173913,-0.49130434782608695,-0.3942687747035573,-0.15725806451612903
N_uptake,0.5800141437118942,0.5125516711197562,0.506806517089009,-0.4975806451612903,0.24717741935483872,-0.49556451612903224,-0.044758064516129036,-0.14956119735521942,-0.7419354838709677,1.0,0.7270161290322581,0.725,0.6608870967741935,0.5879032258064516,0.06910986550340063,0.7471774193548387,-0.3116935483870968,0.06014130206231327,0.08591308248305525,0.5866935483870968,0.7954018716271595,0.4405686079451878,0.592741935483871,-0.16029841799378686,0.7296753404084215,0.7787075349584966,0.5971774193548387,-0.12983870967741937,0.670410515421044,0.8160096825419565,0.549407114624506,0.5118577075098815,0.782608695652174,0.32806324110671936,0.37351778656126483,-0.0029644268774703555,0.40403225806451615
