,PC1,PC2,PC3,PC4,PC5
Dry_matter,0.20299780576606638,-0.015018159955592438,0.08865763619055446,0.3223825786576059,-0.3138211107887827
Protein,0.13988315208880128,-0.24201390896148628,0.23949471619920798,-0.10798986697718117,0.23101577860246916
N,0.13986542971613866,-0.2415000990253399,0.24054341003689708,-0.10976702449836633,0.23678036117672965
P,-0.1961966027857148,0.1475216724248833,-0.042267647208353076,0.050874464443620426,0.41873052405901134
K,0.10546468998535322,-0.27718958267961896,-0.179193874887121,-0.2927641241660412,-0.26170133714544835
Ca,-0.21062288822862696,0.11659397729656819,0.10755566676271364,-0.05569018136140502,0.21578044225748294
Fe,-0.019463271045595962,-0.08780782454278228,0.5525643981776044,-0.20381125932672667,0.250451000897391
Zn,-0.18172716565468375,-0.16919677083263585,-0.12330760702971795,0.2913710535093337,-0.04961591495920822
Mg,-0.22867011449668964,0.005861363603024517,-0.03786425181220993,0.03855016606923234,0.048601649888907535
N_uptake,0.22582510508199463,0.02560874853054726,-0.057828019275996304,0.025690045357962325,0.16106256871130423
P_uptake,0.19664493556032164,0.15201639727878177,-0.1147569997080229,0.15327268697929497,0.238374537621575
K_uptake,0.2264007139849286,0.011342971098625861,-0.10118666054838096,0.008115005539026988,-0.014765913608722698
Ca_uptake,0.16242199863519793,0.2532725915926892,0.07059549141867937,0.10147284979833088,0.08715030869261253
Fe_uptake,0.20353388235664374,-0.06111394724423585,0.19574963813222862,0.11960497744798484,-0.058071127204565136
Zn_uptake,0.08993594541958093,-0.21997126680573378,0.18119740158434855,0.5566580534454426,0.09043998444236742
Mg_uptake,0.2187527447444652,0.09639599028145776,-0.0023861835990747946,0.1456279269906278,-0.014217125310463286
Acid_phosphomonosterase,-0.04586481348599226,-0.3560009552170989,-0.13736541193548035,0.08969122158400543,-0.01343221375863842
Dehydrogenase,0.00686993619190927,0.35705169626547795,0.1562232011618387,-0.03060453476653545,-0.1494794608876122
pH,0.03318233226475624,0.35669241763147885,0.12931841515340373,-0.15135783669715783,0.0001619675472481236
EC,0.14596224827082963,0.2391786743022112,0.059637842223621944,-0.2736460608042104,-0.29470642877612085
Plant_height_20DAT,0.2274920915218992,0.0313268232534019,-0.020262119028728605,-0.00196992018026267,0.11356137474213962
Stem_diameter_20DAT,0.20651050710246738,0.13331253682311106,0.021858526773980667,0.12221352918062177,0.20053977552712832
SPAD_20DAT,0.21879661875304102,-0.10816813014852505,0.013960175259634017,0.0035220394134516295,-0.12701353870453047
NDVI_20DAT,-0.17725283851500387,-0.03093834088715109,0.3397855315034304,0.12670718516171042,-0.23573619398574908
Plant_height_35DAT,0.22897680818718263,0.0037883501277630985,-0.017236705380265678,-0.04802774277459127,-0.05537095290928897
Stem_diameter_35DAT,0.2239383044893193,0.07363768683170008,-0.06294474016435496,0.020071318106746956,0.01967490745603622
SPAD_35DAT,0.21787367042270658,-0.07860348121161766,0.13612921679849366,-0.0458339391333767,-0.07922622974875429
NDVI_35DAT,0.11718030643238653,-0.1105721545622328,-0.4244349234619724,-0.17241033538034503,0.272665224198381
Flower_buds,0.2292918283876632,-0.015259665353640936,0.008104334633708984,0.007684910376041987,0.011397998382145148
Above_ground_biomass,0.217043221841596,0.09889590354705641,-0.09821464143533433,0.042545477659686644,0.11530334386353654
N_P_ratio,0.1166664868029243,-0.28449790091380245,0.11772265871138637,-0.3145721518400568,0.011187737883056995
